Zip_Code,"Long, Lat",Population
60603,"41.880614, -87.629311",493
60604,"41.878266, -87.626150",570
60602,"41.883067, -87.629187",1204
60606,"41.881988, -87.637329",2308
60661,"41.882458, -87.643946",7792
60601,"41.885805, -87.622911",11110
60633,"41.661941, -87.557757",12927
60654,"41.888109, -87.636652",14875
60607,"41.874503, -87.651322",23897
60605,"41.857651, -87.615592",24668
60646,"41.992931, -87.760278",27177
60656,"41.973544, -87.830234",27613
60655,"41.694722, -87.703687",28550
60631,"41.994948, -87.813225",28641
60611,"41.893024, -87.618998",28718
60653,"41.819722, -87.611809",29908
60612,"41.880500, -87.687967",33472
60621,"41.776404, -87.640058",35912
60610,"41.900034, -87.636967",37726
60659,"41.991923, -87.704608",38104
60624,"41.880048, -87.722352",38105
60615,"41.801502, -87.603332",40603
60636,"41.775708, -87.669011",40916
60652,"41.746234, -87.711953",40959
60660,"41.990561, -87.664706",42752
60645,"42.008406, -87.695793",45274
60649,"41.763484, -87.570411",46650
60613,"41.958302, -87.660698",48281
60616,"41.844977, -87.629846",48433
60644,"41.880614, -87.756903",48648
60637,"41.780673, -87.603500",49503
60643,"41.696894, -87.661375",49952
60626,"42.009340, -87.669902",50139
60622,"41.901894, -87.672630",52548
60630,"41.972071, -87.756569",54093
60638,"41.783650, -87.770407",55026
60619,"41.743383, -87.605811",63825
60651,"41.902029, -87.740432",64267
60609,"41.812680, -87.656935",64906
60640,"41.972347, -87.663982",65790
60657,"41.938964, -87.656811",65996
60614,"41.922667, -87.652537",66617
60641,"41.946466, -87.746971",71663
60628,"41.692200, -87.617859",72202
60620,"41.740481, -87.653749",72216
60634,"41.946189, -87.806117",74298
60625,"41.973081, -87.699751",78651
60608,"41.848647, -87.672320",82739
60617,"41.718172, -87.555846",84155
60647,"41.921117, -87.701899",87291
60639,"41.920639, -87.755793",90407
60632,"41.810213, -87.711761",91326
60618,"41.946755, -87.702861",92084
60623,"41.847079, -87.719446",92108
60629,"41.774690, -87.714185",113916
