	zipcode	station_count	month_total (thousands)	population (thousands)	income (thousand)	taxi_records (thousands)
0	60601	1	3780.031	11.11	77.37400000000001	4270.191
1	60607	3	3220.92	23.897000000000016	40.97199999999999	1687.9189999999999
2	60608	6	3150.574000000001	82.73899999999988	28.026000000000025	31.898000000000003
3	60609	1	1089.224	64.90599999999999	25.704999999999988	4.213
4	60610	4	10108.463999999998	37.72600000000005	51.29400000000001	4860.152
5	60613	5	6012.424000000002	48.28099999999996	48.38099999999998	150.122
6	60614	3	6743.811	66.61700000000002	68.32400000000003	318.425
7	60615	2	611.304	40.60299999999998	31.571000000000016	75.919
8	60616	5	4658.977	48.433	30.625	55.583000000000006
9	60618	2	2332.1479999999997	92.08400000000002	41.35500000000001	115.38999999999999
10	60619	3	5981.415999999998	63.82500000000001	33.631	15.722999999999999
11	60621	4	3461.5949999999993	35.91200000000002	19.717999999999986	4.775
12	60623	5	1508.752	92.1080000000001	28.20299999999998	9.266000000000002
13	60624	5	2303.3810000000003	38.10500000000001	22.425999999999995	10.408
14	60625	5	4102.792000000001	78.65099999999993	40.08300000000004	81.74099999999999
15	60626	9	5988.336000000001	50.13900000000006	31.318000000000076	58.85
16	60629	1	2477.34	113.91599999999995	40.279	5.524
17	60630	1	1896.402	54.092999999999996	47.904999999999994	32.669
18	60631	1	844.8760000000001	28.641000000000002	55.316000000000024	12.121999999999996
19	60632	2	2475.183	91.32600000000001	37.40599999999998	4.6129999999999995
20	60636	1	301.89	40.916	27.726999999999993	2.9859999999999998
21	60637	2	441.99999999999994	49.50300000000001	23.228000000000005	18.208000000000002
22	60641	2	2051.3959999999997	71.663	42.18200000000001	20.341000000000005
23	60644	13	7152.649000000001	48.64800000000009	26.929999999999936	10.184
24	60645	2	539.885	45.274	41.437999999999995	58.896
25	60646	2	832.2930000000001	27.17700000000001	58.23199999999998	5.167
26	60647	3	5613.603999999998	87.29100000000003	35.28299999999999	53.101
27	60653	4	1702.2170000000003	29.907999999999983	14.205000000000005	21.991
28	60656	3	7019.250000000001	27.613000000000024	47.511999999999965	1216.416
29	60657	6	10827.269000000002	65.99600000000007	55.64699999999996	490.208
30	60660	4	5185.4760000000015	42.751999999999974	34.29299999999996	116.196
